nama_variabel,jenis_kelamin,tahun,persen,provinsi
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.8982088136585,ACEH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.3837196236503,SUMATERA UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.48584662756135,SUMATERA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.43522210372404,RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.75687261558067,JAMBI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.72100363600235,SUMATERA SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.79412127898141,BENGKULU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,1.4130489175705,LAMPUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.96210312082821,KEP. BANGKA BELITUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.72240607798031,KEP. RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.10216391398657,DKI JAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.79320367673225,JAWA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,3.3795532926473,JAWA TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,1.9718876225763,DI YOGYAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,4.3461844960093,JAWA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,1.0285357517642,BANTEN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,2.395941801912,BALI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,6.9408940964372,NUSA TENGGARA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,4.6603427850735,NUSA TENGGARA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,3.5050666456575,KALIMANTAN BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.4483604425595,KALIMANTAN TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.70798254707537,KALIMANTAN SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.66015079987814,KALIMANTAN TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,2.3039387891182,KALIMANTAN UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.24796400009861,SULAWESI UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,1.3550619313893,SULAWESI TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,5.1815238165392,SULAWESI SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,2.7277394909913,SULAWESI TENGGARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,1.0826646770007,GORONTALO
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,4.6641862306713,SULAWESI BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.49328879763914,MALUKU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,0.71673945660546,MALUKU UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,1.4500918138569,PAPUA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,16.97005786579,PAPUA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2019,2.2979263278844,INDONESIA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,2.60311956958773,ACEH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,1.25288142997071,SUMATERA UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,1.20872760036791,SUMATERA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,1.06075137779029,RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,2.53123024782089,JAMBI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,1.79352763929467,SUMATERA SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,2.83821628704413,BENGKULU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,4.0369049603979,LAMPUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,2.77706183777503,KEP. BANGKA BELITUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,1.39925311899827,KEP. RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,0.414307511402289,DKI JAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,1.97621255452753,JAWA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,8.48122020278542,JAWA TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,6.7883582582252,DI YOGYAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,10.2050701774314,JAWA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,3.29007691868394,BANTEN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,9.54709200711854,BALI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,14.7888889401288,NUSA TENGGARA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,8.16593234571649,NUSA TENGGARA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,9.33727197599129,KALIMANTAN BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,0.992320070548872,KALIMANTAN TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,2.14338728239924,KALIMANTAN SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,1.31937013085771,KALIMANTAN TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,5.09386797111595,KALIMANTAN UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,0.093371422086988,SULAWESI UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,2.47627064698306,SULAWESI TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,8.77624582084856,SULAWESI SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,6.51968258932785,SULAWESI TENGGARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,1.14742856682137,GORONTALO
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,7.71466419872234,SULAWESI BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,0.848471711687415,MALUKU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,1.67722016766817,MALUKU UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,3.36318214815376,PAPUA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,26.761088377607,PAPUA
