nama_variabel,jenis_kelamin,tahun,angka,provinsi
Angka Harapan Lama Sekolah,Laki-laki,2018,11.67,KEP. BANGKA BELITUNG
Angka Harapan Lama Sekolah,Laki-laki,2018,12.82,KEPULAUAN RIAU
Angka Harapan Lama Sekolah,Laki-laki,2018,12.99,DKI JAKARTA
Angka Harapan Lama Sekolah,Laki-laki,2018,12.44,JAWA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2018,12.62,JAWA TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2018,15.55,D I YOGYAKARTA
Angka Harapan Lama Sekolah,Laki-laki,2018,13.22,JAWA TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2018,12.81,BANTEN
Angka Harapan Lama Sekolah,Laki-laki,2018,13.34,BALI
Angka Harapan Lama Sekolah,Laki-laki,2018,13.66,NUSA TENGGARA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2018,13.06,NUSA TENGGARA TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2018,12.53,KALIMANTAN BARAT
Angka Harapan Lama Sekolah,Laki-laki,2018,12.46,KALIMANTAN TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2018,12.69,KALIMANTAN SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2018,13.67,KALIMANTAN TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2018,12.82,KALIMANTAN UTARA
Angka Harapan Lama Sekolah,Laki-laki,2018,12.43,SULAWESI UTARA
Angka Harapan Lama Sekolah,Laki-laki,2018,12.83,SULAWESI TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2018,13,SULAWESI SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2018,13.48,SULAWESI TENGGARA
Angka Harapan Lama Sekolah,Laki-laki,2018,12.77,GORONTALO
Angka Harapan Lama Sekolah,Laki-laki,2018,12.28,SULAWESI BARAT
Angka Harapan Lama Sekolah,Laki-laki,2018,13.7,MALUKU
Angka Harapan Lama Sekolah,Laki-laki,2018,13.7,MALUKU UTARA
Angka Harapan Lama Sekolah,Laki-laki,2018,13.21,PAPUA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2018,10.91,PAPUA
Angka Harapan Lama Sekolah,Laki-laki,2018,12.84,INDONESIA
Angka Harapan Lama Sekolah,Perempuan,2017,14.32,ACEH
Angka Harapan Lama Sekolah,Perempuan,2017,13.35,SUMATERA UTARA
Angka Harapan Lama Sekolah,Perempuan,2017,14.38,SUMATERA BARAT
Angka Harapan Lama Sekolah,Perempuan,2017,13.23,RIAU
Angka Harapan Lama Sekolah,Perempuan,2017,13.04,JAMBI
Angka Harapan Lama Sekolah,Perempuan,2017,12.56,SUMATERA SELATAN
Angka Harapan Lama Sekolah,Perempuan,2017,13.86,BENGKULU
Angka Harapan Lama Sekolah,Perempuan,2017,12.67,LAMPUNG
Angka Harapan Lama Sekolah,Perempuan,2017,12,KEP. BANGKA BELITUNG
Angka Harapan Lama Sekolah,Perempuan,2017,12.88,KEPULAUAN RIAU
Angka Harapan Lama Sekolah,Perempuan,2017,12.81,DKI JAKARTA
Angka Harapan Lama Sekolah,Perempuan,2017,12.51,JAWA BARAT
Angka Harapan Lama Sekolah,Perempuan,2017,12.63,JAWA TENGAH
Angka Harapan Lama Sekolah,Perempuan,2017,15.14,D I YOGYAKARTA
